"Población de la C.A. de Euskadi por ámbitos territoriales, según grandes grupos de edad y sexo. 01/01/2025"


;"Total";;;"0  - 19";;;"20 -64";;;">= 65"
;"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres"
"Igorre";4.252;2.077;2.175;860;429;431;2.390;1.210;1.180;1.002;438;564
"Ikaztegieta";488;255;233;98;50;48;275;144;131;115;61;54
"Irun";60.665;29.507;31.158;10.443;5.344;5099;35.513;17.815;17.698;14.709;6.348;8.361
"Iruña Oka/Iruña de Oca";3.780;2.002;1.778;764;371;393;2.488;1.362;1.126;528;269;259
"Irura";1.846;946;900;461;238;223;1.163;610;553;222;98;124
"Iruraiz-Gauna";598;328;270;92;47;45;382;212;170;124;69;55
"Ispaster";734;383;351;153;80;73;408;208;200;173;95;78
"Itsasondo";702;351;351;167;77;90;414;221;193;121;53;68
"Iurreta";3.830;1.870;1.960;684;342;342;2.202;1.112;1.090;944;416;528
"Izurtza";241;157;84;61;53;8;127;72;55;53;32;21
"Karrantza Harana/Valle de Carranza";2.741;1.426;1.315;383;207;176;1.558;831;727;800;388;412
"Kortezubi";463;223;240;91;34;57;274;138;136;98;51;47
"Kripan";180;96;84;22;14;8;109;58;51;49;24;25
"Kuartango";388;213;175;62;32;30;212;119;93;114;62;52
"Labastida/Bastida";1.668;856;812;347;172;175;969;502;467;352;182;170
"Lagrán";190;101;89;15;8;7;104;56;48;71;37;34
"Laguardia";1.544;830;714;244;140;104;933;505;428;367;185;182
"Lanciego/Lantziego";756;396;360;164;78;86;407;222;185;185;96;89
"Lanestosa";271;141;130;25;11;14;166;92;74;80;38;42
"Lantarón";1.007;579;428;133;78;55;610;349;261;264;152;112
"Lapuebla de Labarca";896;460;436;177;87;90;534;289;245;185;84;101
"Larrabetzu";2.056;1.008;1.048;432;227;205;1.202;595;607;422;186;236
"Larraul";262;141;121;65;37;28;158;84;74;39;20;19
"Lasarte-Oria";19.808;9.632;10.176;3.424;1.712;1712;11.514;5.804;5.710;4.870;2.116;2.754
"Laudio/Llodio";18.193;8.808;9.385;3.038;1.558;1480;10.238;5.121;5.117;4.917;2.129;2.788
"Laukiz";1.248;606;642;263;122;141;744;377;367;241;107;134
"Lazkao";5.888;2.916;2.972;1.267;619;648;3.474;1.783;1.691;1.147;514;633
"Leaburu";383;202;181;73;37;36;221;115;106;89;50;39
"Legazpi";8.377;4.229;4.148;1.494;774;720;4.607;2.424;2.183;2.276;1.031;1.245
"Legorreta";1.499;773;726;310;157;153;880;479;401;309;137;172
"Legutio";2.108;1.096;1.012;400;206;194;1.321;707;614;387;183;204
"Leintz-Gatzaga";224;127;97;32;9;23;134;85;49;58;33;25
"Leioa";32.495;15.798;16.697;6.045;3.151;2894;19.148;9.421;9.727;7.302;3.226;4.076
"Lekeitio";7.186;3.549;3.637;1.115;570;545;4.100;2.087;2.013;1.971;892;1.079
"Lemoa";3.640;1.845;1.795;747;399;348;2.230;1.145;1.085;663;301;362
"Lemoiz";1.370;717;653;279;152;127;848;441;407;243;124;119
"Leza";208;110;98;36;15;21;111;66;45;61;29;32
"Lezama";2.363;1.157;1.206;434;221;213;1.368;670;698;561;266;295
"Lezo";6.188;3.044;3.144;1.090;577;513;3.753;1.859;1.894;1.345;608;737
"Lizartza";700;369;331;147;61;86;406;232;174;147;76;71
"Loiu";2.240;1.144;1.096;425;264;161;1.272;636;636;543;244;299
"Mallabia";1.120;568;552;187;99;88;662;337;325;271;132;139
"Mañaria";538;289;249;111;63;48;305;168;137;122;58;64
"Markina-Xemein";5.056;2.566;2.490;1.027;528;499;2.852;1.472;1.380;1.177;566;611
"Maruri-Jatabe";1.100;571;529;214;116;98;663;343;320;223;112;111
"Mendaro";2.049;1.041;1.008;454;228;226;1.218;642;576;377;171;206
"Mendata";400;202;198;72;37;35;233;120;113;95;45;50
"Mendexa";452;235;217;71;35;36;269;136;133;112;64;48
"Meñaka";775;416;359;134;77;57;434;229;205;207;110;97
"Moreda de Álava/Moreda Araba";264;145;119;39;19;20;160;93;67;65;33;32
"Morga";429;217;212;50;25;25;248;130;118;131;62;69
"Mundaka";1.836;892;944;277;145;132;995;501;494;564;246;318
"Mungia";17.772;8.589;9.183;3.648;1.870;1778;10.622;5.135;5.487;3.502;1.584;1.918
"Munitibar-Arbatzegi Gerrikaitz";466;259;207;64;39;25;297;163;134;105;57;48
"Murueta";314;161;153;57;29;28;191;98;93;66;34;32
"Muskiz";7.282;3.604;3.678;1.276;667;609;4.360;2.212;2.148;1.646;725;921
"Mutiloa";249;129;120;49;21;28;153;87;66;47;21;26
"Mutriku";5.283;2.649;2.634;975;505;470;3.043;1.552;1.491;1.265;592;673
"Muxika";1.543;821;722;328;204;124;865;447;418;350;170;180
"Nabarniz";264;125;139;45;20;25;148;73;75;71;32;39
"Navaridas";227;128;99;36;13;23;145;85;60;46;30;16
"Oiartzun";10.473;5.168;5.305;1.956;993;963;6.148;3.058;3.090;2.369;1.117;1.252
"Okondo";1.160;609;551;222;115;107;703;377;326;235;117;118
"Olaberria";950;496;454;146;73;73;576;321;255;228;102;126
"Ondarroa";8.144;4.096;4.048;1.200;628;572;4.675;2.483;2.192;2.269;985;1.284
"Oñati";11.445;5.645;5.800;2.358;1.207;1151;6.248;3.145;3.103;2.839;1.293;1.546
"Ordizia";10.398;5.137;5.261;2.228;1.127;1101;6.033;3.066;2.967;2.137;944;1.193
"Orendain";241;118;123;66;30;36;141;72;69;34;16;18
"Orexa";99;61;38;23;17;6;56;33;23;20;11;9
"Orio";6.197;3.119;3.078;1.299;688;611;3.724;1.875;1.849;1.174;556;618
"Ormaiztegi";1.290;647;643;285;147;138;702;359;343;303;141;162
"Orozko";2.736;1.370;1.366;465;233;232;1.694;864;830;577;273;304
"Ortuella";8.644;4.220;4.424;1.437;756;681;5.099;2.557;2.542;2.108;907;1.201
"Otxandio";1.304;667;637;282;145;137;725;386;339;297;136;161
"Oyón-Oion";3.688;1.863;1.825;872;444;428;2.194;1.141;1.053;622;278;344
"Pasaia";16.767;8.082;8.685;2.777;1.417;1360;10.271;5.158;5.113;3.719;1.507;2.212
"Peñacerrada-Urizaharra";355;208;147;50;27;23;236;134;102;69;47;22
"Plentzia";4.528;2.185;2.343;765;384;381;2.760;1.353;1.407;1.003;448;555
"Portugalete";45.150;21.531;23.619;6.519;3.364;3155;25.443;12.715;12.728;13.188;5.452;7.736
"Ribera Baja/Erribera Beitia";1.649;875;774;319;162;157;1.055;572;483;275;141;134
"Samaniego";282;142;140;49;26;23;180;94;86;53;22;31
"San Millán/Donemiliaga";700;383;317;111;60;51;402;229;173;187;94;93
"Santurtzi";46.111;22.084;24.027;7.460;3.778;3682;26.989;13.391;13.598;11.662;4.915;6.747
"Segura";1.499;770;729;351;190;161;832;419;413;316;161;155
"Sestao";28.019;13.430;14.589;4.538;2.302;2236;16.499;8.239;8.260;6.982;2.889;4.093
"Sondika";4.651;2.219;2.432;826;407;419;2.767;1.365;1.402;1.058;447;611
"Sopela";14.017;6.973;7.044;2.669;1.436;1233;8.764;4.352;4.412;2.584;1.185;1.399
"Sopuerta";2.827;1.455;1.372;525;295;230;1.667;877;790;635;283;352
"Soraluze-Placencia de las Armas";3.765;1.951;1.814;678;370;308;2.139;1.152;987;948;429;519
"Sukarrieta";376;198;178;38;21;17;217;113;104;121;64;57
"Tolosa";20.048;9.774;10.274;3.807;1.999;1808;11.523;5.770;5.753;4.718;2.005;2.713
"Trucios-Turtzioz";524;266;258;61;25;36;323;169;154;140;72;68
"Ubide";179;91;88;23;9;14;126;65;61;30;17;13
"Ugao-Miraballes";4.181;2.107;2.074;739;377;362;2.457;1.288;1.169;985;442;543
"Urduliz";6.036;2.962;3.074;1.215;613;602;3.765;1.861;1.904;1.056;488;568
"Urduña/Orduña";4.244;2.220;2.024;804;469;335;2.423;1.269;1.154;1.017;482;535
"Urkabustaiz";1.515;790;725;315;158;157;948;489;459;252;143;109
"Urnieta";6.294;3.160;3.134;1.114;572;542;3.936;2.004;1.932;1.244;584;660
"Urretxu";6.795;3.421;3.374;1.196;627;569;3.978;2.078;1.900;1.621;716;905
"Usansolo";4.591;2.259;2.332;867;457;410;2.781;1.380;1.401;943;422;521
"Usurbil";6.485;3.237;3.248;1.300;696;604;3.875;1.951;1.924;1.310;590;720
"Valdegovía/Gaubea";1.147;628;519;125;60;65;668;369;299;354;199;155
"Valle de Trápaga-Trapagaran";11.630;5.593;6.037;1.724;865;859;6.849;3.416;3.433;3.057;1.312;1.745
"Villabona";5.778;2.794;2.984;1.055;518;537;3.383;1.667;1.716;1.340;609;731
"Villabuena de Álava/Eskuernaga";286;154;132;35;22;13;166;94;72;85;38;47
"Vitoria-Gasteiz";253.956;122.984;130.972;46.589;24.055;22534;148.523;73.410;75.113;58.844;25.519;33.325
"Yécora/Iekora";274;158;116;46;37;9;149;82;67;79;39;40
"Zaldibar";3.051;1.522;1.529;594;301;293;1.766;913;853;691;308;383
"Zaldibia";1.766;897;869;434;222;212;952;490;462;380;185;195
"Zalduondo";220;111;109;30;14;16;150;77;73;40;20;20
"Zalla";8.257;4.027;4.230;1.416;741;675;4.806;2.412;2.394;2.035;874;1.161
"Zambrana";462;246;216;70;28;42;283;158;125;109;60;49
"Zamudio";3.384;1.705;1.679;602;330;272;1.969;1.027;942;813;348;465
"Zaratamo";1.602;788;814;259;134;125;983;493;490;360;161;199
"Zarautz";23.464;11.340;12.124;4.208;2.157;2051;13.789;6.758;7.031;5.467;2.425;3.042
"Zeanuri";1.226;607;619;215;105;110;722;363;359;289;139;150
"Zeberio";1.080;535;545;180;84;96;642;333;309;258;118;140
"Zegama";1.560;819;741;355;184;171;866;471;395;339;164;175
"Zerain";290;135;155;58;23;35;151;75;76;81;37;44
"Zestoa";3.908;2.033;1.875;835;455;380;2.311;1.213;1.098;762;365;397
"Zierbena";1.509;815;694;224;135;89;960;532;428;325;148;177
"Zigoitia";1.867;997;870;336;184;152;1.067;568;499;464;245;219
"Ziortza-Bolibar";418;227;191;76;39;37;233;134;99;109;54;55
"Zizurkil";2.904;1.444;1.460;573;271;302;1.692;861;831;639;312;327
"Zuia";2.411;1.265;1.146;370;201;169;1.500;786;714;541;278;263
"Zumaia";10.001;4.948;5.053;2.023;1.045;978;5.766;2.892;2.874;2.212;1.011;1.201
"Zumarraga";9.568;4.711;4.857;1.689;869;820;5.438;2.786;2.652;2.441;1.056;1.385

"Fuente: Eustat. Censo de población y viviendas. Estructura de la población"

