prov,edad,periodo,nac,prov_cod
Araba/Álava,34,2008,289,01
Araba/Álava,34,2009,328,01
Araba/Álava,34,2010,320,01
Araba/Álava,34,2011,336,01
Araba/Álava,34,2012,321,01
Araba/Álava,34,2013,284,01
Araba/Álava,34,2014,285,01
Araba/Álava,34,2015,258,01
Araba/Álava,34,2016,254,01
Araba/Álava,34,2017,212,01
Araba/Álava,34,2018,201,01
Araba/Álava,34,2019,205,01
Araba/Álava,34,2020,190,01
Araba/Álava,34,2021,184,01
Araba/Álava,34,2022,206,01
Araba/Álava,34,2023,170,01
Araba/Álava,34,2024,146,01
Araba/Álava,35,1996,164,01
Araba/Álava,35,1997,162,01
Araba/Álava,35,1998,176,01
Araba/Álava,35,1999,199,01
Araba/Álava,35,2000,223,01
Araba/Álava,35,2001,209,01
Araba/Álava,35,2002,207,01
Araba/Álava,35,2003,223,01
Araba/Álava,35,2004,277,01
Araba/Álava,35,2005,253,01
Araba/Álava,35,2006,258,01
Araba/Álava,35,2007,259,01
Araba/Álava,35,2008,294,01
Araba/Álava,35,2009,280,01
Araba/Álava,35,2010,300,01
Araba/Álava,35,2011,310,01
Araba/Álava,35,2012,290,01
Araba/Álava,35,2013,291,01
Araba/Álava,35,2014,299,01
Araba/Álava,35,2015,289,01
Araba/Álava,35,2016,287,01
Araba/Álava,35,2017,272,01
Araba/Álava,35,2018,225,01
Araba/Álava,35,2019,249,01
Araba/Álava,35,2020,192,01
Araba/Álava,35,2021,179,01
Araba/Álava,35,2022,156,01
Araba/Álava,35,2023,185,01
Araba/Álava,35,2024,156,01
Araba/Álava,36,1996,102,01
Araba/Álava,36,1997,139,01
Araba/Álava,36,1998,136,01
Araba/Álava,36,1999,131,01
Araba/Álava,36,2000,160,01
Araba/Álava,36,2001,183,01
Araba/Álava,36,2002,192,01
Araba/Álava,36,2003,188,01
Araba/Álava,36,2004,192,01
Araba/Álava,36,2005,208,01
Araba/Álava,36,2006,181,01
Araba/Álava,36,2007,226,01
Araba/Álava,36,2008,260,01
Araba/Álava,36,2009,228,01
Araba/Álava,36,2010,291,01
Araba/Álava,36,2011,312,01
Araba/Álava,36,2012,283,01
Araba/Álava,36,2013,276,01
Araba/Álava,36,2014,294,01
Araba/Álava,36,2015,288,01
Araba/Álava,36,2016,252,01
Araba/Álava,36,2017,239,01
Araba/Álava,36,2018,219,01
Araba/Álava,36,2019,214,01
Araba/Álava,36,2020,199,01
Araba/Álava,36,2021,196,01
Araba/Álava,36,2022,178,01
Araba/Álava,36,2023,165,01
Araba/Álava,36,2024,186,01
Araba/Álava,37,1996,69,01
Araba/Álava,37,1997,104,01
Araba/Álava,37,1998,92,01
Araba/Álava,37,1999,114,01
Araba/Álava,37,2000,109,01
Araba/Álava,37,2001,124,01
Araba/Álava,37,2002,145,01
Araba/Álava,37,2003,151,01
Araba/Álava,37,2004,175,01
Araba/Álava,37,2005,141,01
Araba/Álava,37,2006,182,01
Araba/Álava,37,2007,166,01
Araba/Álava,37,2008,200,01
Araba/Álava,37,2009,193,01
Araba/Álava,37,2010,231,01
Araba/Álava,37,2011,221,01
Araba/Álava,37,2012,243,01
Araba/Álava,37,2013,228,01
Araba/Álava,37,2014,245,01
Araba/Álava,37,2015,243,01
Araba/Álava,37,2016,251,01
Araba/Álava,37,2017,213,01
Araba/Álava,37,2018,206,01
Araba/Álava,37,2019,192,01
Araba/Álava,37,2020,184,01
Araba/Álava,37,2021,195,01
Araba/Álava,37,2022,173,01
Araba/Álava,37,2023,181,01
Araba/Álava,37,2024,161,01
Araba/Álava,38,1996,49,01
Araba/Álava,38,1997,67,01
Araba/Álava,38,1998,71,01
Araba/Álava,38,1999,72,01
Araba/Álava,38,2000,131,01
Araba/Álava,38,2001,70,01
Araba/Álava,38,2002,103,01
Araba/Álava,38,2003,121,01
Araba/Álava,38,2004,119,01
Araba/Álava,38,2005,122,01
Araba/Álava,38,2006,136,01
Araba/Álava,38,2007,116,01
Araba/Álava,38,2008,156,01
Araba/Álava,38,2009,155,01
Araba/Álava,38,2010,164,01
Araba/Álava,38,2011,178,01
Araba/Álava,38,2012,185,01
Araba/Álava,38,2013,203,01
Araba/Álava,38,2014,210,01
Araba/Álava,38,2015,202,01
Araba/Álava,38,2016,192,01
Araba/Álava,38,2017,200,01
Araba/Álava,38,2018,187,01
Araba/Álava,38,2019,145,01
Araba/Álava,38,2020,133,01
Araba/Álava,38,2021,172,01
Araba/Álava,38,2022,136,01
Araba/Álava,38,2023,160,01
Araba/Álava,38,2024,113,01
Araba/Álava,39,1996,33,01
Araba/Álava,39,1997,30,01
Araba/Álava,39,1998,48,01
Araba/Álava,39,1999,45,01
Araba/Álava,39,2000,50,01
Araba/Álava,39,2001,72,01
Araba/Álava,39,2002,69,01
Araba/Álava,39,2003,86,01
Araba/Álava,39,2004,71,01
Araba/Álava,39,2005,93,01
Araba/Álava,39,2006,96,01
Araba/Álava,39,2007,80,01
Araba/Álava,39,2008,128,01
Araba/Álava,39,2009,112,01
Araba/Álava,39,2010,133,01
Araba/Álava,39,2011,130,01
Araba/Álava,39,2012,147,01
Araba/Álava,39,2013,146,01
Araba/Álava,39,2014,156,01
Araba/Álava,39,2015,151,01
Araba/Álava,39,2016,152,01
Araba/Álava,39,2017,152,01
Araba/Álava,39,2018,165,01
Araba/Álava,39,2019,138,01
Araba/Álava,39,2020,132,01
Araba/Álava,39,2021,135,01
Araba/Álava,39,2022,124,01
Araba/Álava,39,2023,108,01
Araba/Álava,39,2024,104,01
Araba/Álava,40,1996,22,01
Araba/Álava,40,1997,26,01
Araba/Álava,40,1998,24,01
Araba/Álava,40,1999,29,01
Araba/Álava,40,2000,46,01
Araba/Álava,40,2001,43,01
Araba/Álava,40,2002,46,01
Araba/Álava,40,2003,43,01
Araba/Álava,40,2004,61,01
Araba/Álava,40,2005,60,01
Araba/Álava,40,2006,63,01
Araba/Álava,40,2007,60,01
Araba/Álava,40,2008,90,01
