prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu,municipio_cod,municipio_cod_full,municipio,municipio_norm
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,049,20049,Lazkao,Lazkao
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,051,20051,Legazpi,Legazpi
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,057,20057,Mutiloa,Mutiloa
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,058,20058,Olaberria,Olaberria
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,076,20076,Ordizia,Ordizia
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,062,20062,Ormaiztegi,Ormaiztegi
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,070,20070,Segura,Segura
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,077,20077,Urretxu,Urretxu
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,078,20078,Zaldibia,Zaldibia
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,025,20025,Zegama,Zegama
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,026,20026,Zerain,Zerain
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,080,20080,Zumarraga,Zumarraga
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,001,20001,Abaltzisketa,Abaltzisketa
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,002,20002,Aduna,Aduna
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,004,20004,Albiztur,Albiztur
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,005,20005,Alegia,Alegia
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,006,20006,Alkiza,Alkiza
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,007,20007,Altzo,Altzo
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,008,20008,Amezketa,Amezketa
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,010,20010,Anoeta,Anoeta
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,014,20014,Asteasu,Asteasu
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,904,20904,Baliarrain,Baliarrain
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,021,20021,Belauntza,Belauntza
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,022,20022,Berastegi,Berastegi
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,023,20023,Berrobi,Berrobi
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,024,20024,Bidania-Goiatz,Bidania-Goiatz
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,031,20031,Elduain,Elduain
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,907,20907,Gaztelu,Gaztelu
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,041,20041,Hernialde,Hernialde
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,042,20042,Ibarra,Ibarra
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,044,20044,Ikaztegieta,Ikaztegieta
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,046,20046,Irura,Irura
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,048,20048,Larraul,Larraul
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea,050,20050,Leaburu,Leaburu
